bidding_zone_from,DK_1,SE_4,EE,NO_4,RU,SE_1,SE_3,NO_2,NO_3,NO_5,NL,NO_1,SE_2,FI,DK_2,LT,PL,DE
DK_2,-566.0,-603.0,,,,,,,,,,,,,,,,574.0
FI,,,325.0,28.0,-1525.0,-1187.0,-1002.0,,,,,,,,,,,
NO_1,,,,,,,2098.0,-2734.0,365.0,-2907.0,,,,,,,,
NO_2,913.0,,,,,,,,,-184.0,704.0,2734.0,,,,,,
NO_3,,,,-217.0,,,,,,0.0,,-365.0,-313.0,,,,,
NO_4,,,,,,-263.0,,,217.0,,,,-90.0,-28.0,,,,
NO_5,,,,,,,,184.0,0.0,,,2907.0,,,,,,
SE_1,,,,263.0,,,,,,,,,314.0,1187.0,,,,
SE_2,,,,90.0,,-314.0,4033.0,,313.0,,,,,,,,,
SE_3,-336.0,3420.0,,,,,,,,,,-2098.0,-4033.0,1002.0,,,,
SE_4,,,,,,,-3420.0,,,,,,,,603.0,0.0,0.0,401.0
