bidding_zone,load
DK,4618.0
DK_2,1948.0
FI,11456.0
NO,18488.0
NO_1,5548.0
NO_2,4854.0
NO_3,2911.0
NO_4,2691.0
NO_5,2485.0
SE,19688.0
SE_1,1410.0
SE_2,2395.0
SE_3,12341.0
SE_4,3542.0
