type,DK,DK_2,FI,NO,NO_1,NO_2,NO_3,NO_4,NO_5,SE,SE_1,SE_2,SE_3,SE_4
hydro,9.0,0.0,3264.0,28262.0,2757.0,10202.0,3169.0,4720.0,7415.0,15956.0,,,,
nuclear,,,2752.0,,,,,,,9528.0,,,,
other,9487.0,4319.0,9980.0,1412.0,0.0,425.0,382.0,270.0,336.0,8009.0,,,,
solar,601.0,180.0,,,,,,,,,,,,
wind-offshore,1271.0,428.0,,,,,,,,,,,,
wind-onshore,3574.0,608.0,496.0,873.0,0.0,261.0,361.0,251.0,0.0,3500.0,,,,
