type,DK,DK_2,FI,NO,NO_1,NO_2,NO_3,NO_4,NO_5,SE,SE_1,SE_2,SE_3,SE_4
hydro,,,1932.0,20883.0,2395.0,8878.0,1905.0,2197.0,5507.0,10662.0,2881.6216216216217,5954.895222402956,1721.1318257032542,248.95642581356867
nuclear,,,1880.0,,,,,,,7052.0,0.0,0.0,7051.999999999999,0.0
other,2594.0,977.0,3917.0,434.0,21.0,3.0,39.0,270.0,100.0,1555.0,40.60828025477707,0.0,868.6210191082803,501.1656050955414
solar,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0
wind-offshore,579.0,226.0,,,,,,,,,0.0,0.0,0.0,0.0
wind-onshore,994.0,149.0,208.0,200.0,0.0,77.0,69.0,54.0,0.0,918.0,157.47141041931386,240.28970775095297,278.78271918678524,241.4561626429479
