StorageUnit,name,carrier,bus,p_nom,capital_cost,max_hours,efficiency_store,efficiency_dispatch,cyclic_state_of_charge,p_min_pu,build_year,control,type,p_nom_extendable,p_nom_min,p_nom_max,p_max_pu,p_set,q_set,sign,marginal_cost,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge_per_period,standing_loss,inflow,p_nom_opt,country,bidding_zone,in_synchronous_network,p_set_before_scaling
422 hydro,Lomen 2,hydro,6714,56.135,177831.093925293,595.009174311927,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,39.2003566397493,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,1,56.135
423 hydro,Lopet 3,hydro,6721,39.15,177831.093925293,277.586206896552,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,12.7294661996814,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,1,39.15
424 hydro,Lutufallet 4,hydro,6721,19.035,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,6.18915425570717,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,1,19.035
425 hydro,Mael 2,hydro,6723,40.5,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,30.104019919033,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,40.5
426 hydro,Mage 3,hydro,6680,31.914,177831.093925293,143.689655172414,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,23.721967696198,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,31.914
427 hydro,Malset 5,hydro,6649,20.6,177831.093925293,1903.615,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,14.3854519778896,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,1,20.6
428 hydro,Maudal 2,hydro,6360,27.54,177831.093925293,1749.17647058824,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,20.4707335449424,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,27.54
429 hydro,Melkefoss 3,hydro,7010,24.2,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,15.7322429458768,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,1,24.2
430 hydro,Linvasselv,hydro,6940,27.5,177831.093925293,4943.232,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,17.8775488021327,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,1,27.5
431 hydro,Leirfossene 3,hydro,6867,67.05,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,47.0885623943668,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,1,67.05
432 hydro,Leinafoss 2,hydro,6662,7.931,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,5.53839901148751,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,1,7.931
433 hydro,Laudal 2,hydro,6362,34.56,177831.093925293,5.821875,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,25.6887636642415,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,34.56
434 hydro,Norddalen 2,hydro,6997,8.25,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,5.36326464063982,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,1,8.25
435 hydro,Neverdalsaga 4,hydro,7006,2.31,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,0.0,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,1,0.0
436 hydro,Kvinen,hydro,6707,86.4,177831.093925293,375.7,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,64.2219091606037,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,86.4
437 hydro,Kvitingen 6,hydro,6653,49.749,177831.093925293,1201.1375,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,34.7408665266035,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,1,49.749
438 hydro,Lakshola 3,hydro,7008,33.0,177831.093925293,630.466666666667,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,21.4530585625593,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,1,33.0
439 hydro,Langasfoss 5,hydro,6728,3.8124,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,0.0,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,0.0
440 hydro,Langvatn 3,hydro,6944,104.94,177831.093925293,52.8,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,68.2207262289385,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,1,104.94
441 hydro,Hogga 6,hydro,6725,18.36,177831.093925293,205.882352941176,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,13.6471556966283,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,18.36
442 hydro,Hofsfoss 4,hydro,6719,36.45,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,11.8515719790137,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,1,36.45
443 hydro,Breiava 3,hydro,6697,15.984,177831.093925293,383.783783783784,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,11.8810531947117,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,15.984
444 hydro,Bingsfoss 2,hydro,6626,43.875,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,14.2657810858499,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,1,43.875
445 hydro,Bjelland 3,hydro,6362,60.1668,177831.093925293,7.76,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,44.7225319917154,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,60.1668
446 hydro,Bjerka 3,hydro,6934,22.0,177831.093925293,6441.3,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,14.3020390417062,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,1,22.0
447 hydro,Bjordalen 2,hydro,6722,3.132,177831.093925293,1368.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,0.0,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,0.0
448 hydro,Blafalli 3,hydro,6677,136.188,177831.093925293,1099.46933333333,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,101.229784314402,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,136.188
449 hydro,Bogna,hydro,6938,84.93,177831.093925293,1750.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,59.6455123661979,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,1,84.93
450 hydro,Bortveit,hydro,6749,2.592,177831.093925293,659.458333333333,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,0.0,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,0.0
