bidding_zone,load
DK,4763.0
DK_2,1896.0
FI,11347.0
NO,19782.0
NO_1,5864.0
NO_2,5202.0
NO_3,3712.0
NO_4,2714.0
NO_5,2289.0
SE,20998.0
SE_1,1513.0
SE_2,2511.0
SE_3,13238.0
SE_4,3736.0
