bidding_zone,load
DK,4578
DK_2,4972.60274
FI,53424.65753
NO,39581.57442
NO_1,8345.274373
NO_2,11006.40433
NO_3,8553.805893
NO_4,6253.971086
NO_5,5422.118736
SE,36547.75
SE_1,3932.944924
SE_2,5839.960772
SE_3,19177.61027
SE_4,7597.234036
