type,DK,DK_2,FI,NO,NO_1,NO_2,NO_3,NO_4,NO_5,SE,SE_1,SE_2,SE_3,SE_4
hydro,,,2152.0,15391.0,1950.0,6630.0,2004.0,1969.0,2836.0,9464.0,3249.4693455498314,5648.825100967432,693.3483764589381,82.10866219477633
nuclear,,,2798.0,,,,,,,6088.0,0.0,0.0,6088.0,0.0
other,1272.0,677.0,2096.0,463.0,23.0,13.0,99.0,243.0,85.0,995.0,32.19399436678272,0.0,575.2677781629534,177.7867422992868
solar,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0
wind-offshore,1368.0,363.0,,,,,,,,,0.0,0.0,0.0,0.0
wind-onshore,2604.0,623.0,1787.0,2067.0,153.0,750.0,828.0,336.0,0.0,7631.0,1795.5233286180028,1645.1276446605245,2885.0811259015754,1305.2679008198972
