bidding_zone_from,DK_1,SE_4,EE,NO_4,RU,SE_1,SE_3,NO_2,NO_3,NO_5,NL,NO_1,SE_2,FI,DK_2,LT,PL,DE
DK_2,-590,-236,,,,,,,,,,,,,,,0,585
FI,,,984,-30,0,1200,-1202,,,,,,,,,,,
NO_1,,,,,,,-842,0,-111,-1059,,,,,,,,
NO_2,432,,,,,,,0,,419,200,0,,,,,,
NO_3,,,,-372,,,,,,-28,,111,-504,,,,,
NO_4,,,,,,-353,,,372,,,,-118,30,,,,
NO_5,,,,,,,,-419,28,,,1059,,,,,,
SE_1,,,,353,,,,,,,,,58,1261,,,,
SE_2,,,,118,,-58,5620,,504,,,,,,,,,
SE_3,-696,3690,,,,,,,,,,842,-5620,1202,,,,
SE_4,,,,,,,-3690,,,,,,,,236,100,0,0
