bidding_zone,load
DK,4578
DK_2,4582
FI,18078
NO,26166.88778
NO_1,5282
NO_2,7723
NO_3,5537
NO_4,4100
NO_5,3631
SE,24164.38356
SE_1,1582
SE_2,3436
SE_3,14758
SE_4,4114
