type,DK,DK_2,FI,NO,NO_1,NO_2,NO_3,NO_4,NO_5,SE,SE_1,SE_2,SE_3,SE_4
hydro,7.0,0.0,3148.0,29334.0,2936.0,10837.0,3454.0,4754.0,7353.0,16318.0,,,,
nuclear,,,2794.0,,,,,,,7710.0,,,,
other,8797.0,4536.0,9180.0,642.0,0.0,5.0,0.0,270.0,367.0,8827.0,,,,
solar,1013.0,341.0,7.0,,,,,,,,,,,
wind-offshore,1700.0,423.0,,,,,,,,,,,,
wind-onshore,4402.0,757.0,2145.0,3068.0,166.0,1145.0,1090.0,668.0,0.0,9648.0,,,,
